title,category,price,rating,availability,url
It's Only the Himalayas,Travel,45.17,2,In stock,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,4,In stock,http://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,3,In stock,http://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,2,In stock,http://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html
Under the Tuscan Sun,Travel,37.33,3,In stock,http://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html
A Summer In Europe,Travel,44.34,2,In stock,http://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html
The Great Railway Bazaar,Travel,30.54,1,In stock,http://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html
A Year in Provence (Provence #1),Travel,56.88,4,In stock,http://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,1,In stock,http://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html
Neither Here nor There: Travels in Europe,Travel,38.95,3,In stock,http://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html
"1,000 Places to See Before You Die",Travel,26.08,5,In stock,http://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html
Sharp Objects,Mystery,47.82,4,In stock,http://books.toscrape.com/catalogue/sharp-objects_997/index.html
"In a Dark, Dark Wood",Mystery,19.63,1,In stock,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
The Past Never Ends,Mystery,56.5,4,In stock,http://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
A Murder in Time,Mystery,16.64,1,In stock,http://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4,In stock,http://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
The Last Mile (Amos Decker #2),Mystery,54.21,2,In stock,http://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html
That Darkness (Gardiner and Renner #1),Mystery,13.92,1,In stock,http://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1,In stock,http://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html
A Time of Torment (Charlie Parker #14),Mystery,48.35,5,In stock,http://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,2,In stock,http://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html
Poisonous (Max Revere Novels #3),Mystery,26.8,3,In stock,http://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,4,In stock,http://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
Most Wanted,Mystery,35.28,3,In stock,http://books.toscrape.com/catalogue/most-wanted_623/index.html
Hide Away (Eve Duncan #20),Mystery,11.84,1,In stock,http://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
Boar Island (Anna Pigeon #19),Mystery,59.48,3,In stock,http://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html
The Widow,Mystery,27.26,2,In stock,http://books.toscrape.com/catalogue/the-widow_609/index.html
Playing with Fire,Mystery,13.71,3,In stock,http://books.toscrape.com/catalogue/playing-with-fire_602/index.html
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,5,In stock,http://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5,In stock,http://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,4,In stock,http://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.8,4,In stock,http://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html
In the Woods (Dublin Murder Squad #1),Mystery,38.38,2,In stock,http://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html
The Silkworm (Cormoran Strike #2),Mystery,23.05,5,In stock,http://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html
The Exiled,Mystery,43.45,3,In stock,http://books.toscrape.com/catalogue/the-exiled_247/index.html
The Cuckoo's Calling (Cormoran Strike #1),Mystery,19.21,1,In stock,http://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html
Extreme Prey (Lucas Davenport #26),Mystery,25.4,3,In stock,http://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html
Career of Evil (Cormoran Strike #3),Mystery,24.72,2,In stock,http://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,57.7,4,In stock,http://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html
The Girl You Lost,Mystery,12.29,5,In stock,http://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html
The Girl In The Ice (DCI Erika Foster #1),Mystery,15.85,3,In stock,http://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html
Blood Defense (Samantha Brinkman #1),Mystery,20.3,3,In stock,http://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html
1st to Die (Women's Murder Club #1),Mystery,53.98,1,In stock,http://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html
Tipping the Velvet,Historical Fiction,53.74,1,In stock,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,3,In stock,http://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5,In stock,http://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
The House by the Lake,Historical Fiction,36.95,1,In stock,http://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
Mrs. Houdini,Historical Fiction,30.25,5,In stock,http://books.toscrape.com/catalogue/mrs-houdini_821/index.html
The Marriage of Opposites,Historical Fiction,28.08,4,In stock,http://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html
Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,3,In stock,http://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html
"Love, Lies and Spies",Historical Fiction,20.55,2,In stock,http://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html
A Paris Apartment,Historical Fiction,39.01,4,In stock,http://books.toscrape.com/catalogue/a-paris-apartment_612/index.html
Lilac Girls,Historical Fiction,17.28,2,In stock,http://books.toscrape.com/catalogue/lilac-girls_597/index.html
The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,3,In stock,http://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html
The Invention of Wings,Historical Fiction,37.34,1,In stock,http://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html
World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,4,In stock,http://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html
The Passion of Dolssa,Historical Fiction,28.32,5,In stock,http://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html
Girl With a Pearl Earring,Historical Fiction,26.77,1,In stock,http://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html
Voyager (Outlander #3),Historical Fiction,21.07,5,In stock,http://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html
The Red Tent,Historical Fiction,35.66,5,In stock,http://books.toscrape.com/catalogue/the-red-tent_273/index.html
The Last Painting of Sara de Vos,Historical Fiction,55.55,2,In stock,http://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,1,In stock,http://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html
Girl in the Blue Coat,Historical Fiction,46.83,2,In stock,http://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html
Between Shades of Gray,Historical Fiction,20.79,5,In stock,http://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html
While You Were Mine,Historical Fiction,41.32,5,In stock,http://books.toscrape.com/catalogue/while-you-were-mine_97/index.html
The Secret Healer,Historical Fiction,34.56,3,In stock,http://books.toscrape.com/catalogue/the-secret-healer_80/index.html
Starlark,Historical Fiction,25.83,3,In stock,http://books.toscrape.com/catalogue/starlark_56/index.html
Lost Among the Living,Historical Fiction,27.7,4,In stock,http://books.toscrape.com/catalogue/lost-among-the-living_31/index.html
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,16.97,5,In stock,http://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,5,In stock,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,1,In stock,http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
This One Summer,Sequential Art,19.49,4,In stock,http://books.toscrape.com/catalogue/this-one-summer_947/index.html
The Nameless City (The Nameless City #1),Sequential Art,38.16,4,In stock,http://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04,2,In stock,http://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
